StID,Object,Parent
185,F1741-08 In-situ PVC Spiral Wound Rehab,180
186,F512-12 Smooth wall PVC Conduit,180
187,D2665-14 PVC DWV Systems,180
188,F1732-12 PVC Sewer Pipe with Recycle,180
189,F1866-13 Sch 40 PVC DWV Fabricated Fittings,180
190,F1867-06 Fold and Form PVC,180
191,F1697-09 Rehab with Sprial Wound PVC Strip Liner,180
192,D2241-09 PVC Pressure Pipe,180
193,F1803-06 Closed Profile PVC Pipe,180
194,F1970-12 Special Valves and Ftgs for PVC and CPVC,180
195,F2658-07 DR 51 and 64 Type PSM PVC,180
196,F758-14 Smooth Wall PVC Underdrain,180
197,F2817-13 PVC Gas Pipe,180
198,F1674-11 Joinit Restraints for  PVC Pipe,180
199,F610-10 Heat Reversion Testing for PVC Ftgs,180
200,F891-10 Cellular Core PVC,180
201,F1760-01 Coex PVC with Recycle,180
202,D2855-96 Making Solvent Cement Joints in PVC,180
203,F794-03 ID Controlled PVC Sewer Pipe,180
204,"D1785-12 Shc 40, 80 and 120 PVC Pipe",180
205,F656-10 Primers for PVC Solvent Cement,180
206,D2152-13 Acetone Immerison Test for PVC,180
207,F1336-07 Gasketed PVC Fittings,180
208,F679-13 LD PVC Sewer Pipe,180
209,D2464-13 Sch 80 PVC Threaded Ftgs,180
210,F949-10 Corrug PVC Sewer Pipe,180
211,D2949-10 3.25 in PVC DWV Pipe,180
212,F1947-10 Folded PVC Liners,180
213,F1735-09 PVC Strip Liners,180
214,D2564-12 Solvent Cement for PVC,180
215,F2261-06 Sch 40 and 80 Socket Ftgs for PVC,180
216,F1504-14 Folded PVC Pipe,180
217,F1057-10 Heat Reversion Testing of PVC,180
218,F2946-12 PVC Tee Connections,180
220,Systems,1
221,D6070-02 Test Methods for Cable in Conduit Systems,220
222,D2665-14 PVC DWV Systems,220
223,F2718-09 FIPLS Systems,220
224,F2829-10 Metric PEX Systems,220
225,D2846-14 CPVC Distribution Systems,220
226,F2994-13 Automated CIP Systems,220
227,F2831-12 Epoxy Barrier Lining Systems,220
228,F2618-09 CPVC Chem Waste Systems,220
229,F1987-01 Multilayer Hydronic Heating Systems,220
230,F2769-10 PERT Distribution Systems,220
231,F1901-10 PE Pipe for Roof Drain Systems,220
232,F1673-10 PVDF DWV Systems,220
234,PE,1
235,D2683-14 Socket Fittings for PE Pipe,234
236,F1563-01 PE Gas Pipe Squeeze Off Tools,234
237,F2510-07 Concrete Manhole Connections for Corrugated PE Pipe,234
238,F2263-14 Chlorine Resistance Test for PE Pipe,234
239,F2619-13 PE Line Pipe,234
240,F810-12 Smoothwall PE Drainage Pipe,234
241,F11056-04 Socket Fusion Tools for PE,234
242,F2737-11 PE Water Quality Units,234
243,F2649-14 Corr PE Grease Tanks,234
244,F1924-12 Plastic Mech Ftgs for PE Gas Pipe,234
245,D2513-14 PE Gas Pipe and Ftgs,234
246,F2634-10 High Speed Tensile Impact Test for PE Fusion,234
247,F2763-11 Triple Wall PE Pipe,234
248,F1606-05 Sewer Rehab with Deformed PE Liner,234
249,F1025-94 Full Circle Band Clamps for PE Gas Pipe,234
250,F905-04 Qualification of PE Saddle Joints,234
251,F1533-01 Deformed PE Liner,234
252,F2928-13 Testing PE Butt Fusions,234
253,F2986-12 Corrug PE Pipe for Mine Leach Fields,234
254,D2609-02 Plastic Insert Ftgs for PE Pipe,234
255,F2620-13 Heat Fusion of PE  Pipe and Ftgs,234
256,D3261-12 Butt Heat Fusion Ftgs for PE,234
257,F2306-13 Annular Corrug PE Profile Pipe,234
258,F1055-13 EF Fittings for PE and PEX,234
259,F2922-13 PE Stormwater Chambers,234
260,F2719-09 Rehab by Installion of PE and Encapsulated Cement Mortar,234
261,F2987-12 Corrug PE Pipe for Mine Heap Leaching,234
262,F2830-11 PE Gas Pipe with Peelable PP Layer,234
263,F2762-11 Annular Corrug PE Pipe for Sanitary Sewer,234
264,F1041-02 Squeeze off of PE Gas Pipe,234
265,F667-12 3-24 Inch Corrugated PE Pipe,234
266,F2897-14 Tracking and Traceability of PE Gas Pipe and Ftgs,234
267,F689-97 Temperatures in PE Gas Risers,234
268,F405-13 Corrug PE Pipe and Ftgs,234
269,F714-13 OD Controlled PE Pipe,234
270,F2880-14 Lap Joint Flange Adapters for PE Pipe,234
271,F2947-14 Annular Corr PE Sanitary Pipe,234
272,F1901-10 PE Pipe for Roof Drain Systems,234
273,F2896-11 PE Composite Pipe for Oil and Gas,234
274,F894-13 Large Diameter PE Profile Pipe,234
275,F2648-13 Annular Corrugated PE Pipe for Landfills,234
277,Test,1
278,D2412-11 Parallel Plate Test,277
279,F1588-96 Constant Tensile Load Joint Test,277
280,D1603-2014 Standard Test Method for Carbon Black Content in Olefin Plastics,277
281,F2263-14 Chlorine Resistance Test for PE Pipe,277
282,D6070-02 Test Methods for Cable in Conduit Systems,277
283,D2290-12 Ring Tensile Test,277
284,F1417-11 Low Pressure Air Test for Non-pressure Sewers,277
285,F2634-10 High Speed Tensile Impact Test for PE Fusion,277
